Time[ms]; PeakValue; HR[bpm]
833;0;50
867;1;50
900;1;50,27933
933;0;52,94118
967;0;52,94118
1000;0;52,94118
1033;0;52,94118
1067;0;52,94118
1100;0;52,94118
1133;0;52,94118
1167;0;52,94118
1200;0;52,94118
1233;0;52,94118
1267;0;52,94118
1300;0;52,94118
1333;0;52,94118
1367;0;52,94118
1400;0;51,13636
1433;0;51,13636
1467;0;51,13636
1500;0;51,13636
1533;0;51,13636
1567;0;51,13636
1600;0;51,13636
1633;0;51,13636
1667;0;51,13636
1700;0;51,13636
1733;0;51,13636
1767;0;51,13636
1800;0;51,13636
1833;0;51,13636
1867;0;51,13636
1900;0;51,13636
1933;0;51,13636
1967;0;51,13636
2000;0;51,13636
2033;0;51,13636
2067;0;51,13636
2100;0;51,13636
2133;0;51,13636
2167;0;51,13636
2200;0;51,13636
2233;0;51,13636
2267;0;51,13636
2300;0;51,13636
2333;1;51,13636
2367;0;48,97959
2400;0;50,84746
2433;0;50,84746
2467;0;50,84746
2500;0;50,84746
2533;0;50,84746
2567;0;50,84746
2600;0;50,84746
2633;0;50,84746
2667;0;50,84746
2700;0;50,84746
2733;0;50,84746
2767;0;50,84746
2800;0;50,84746
2833;0;50,84746
2867;0;50,84746
2900;0;50,84746
2933;0;50,84746
2967;0;50,84746
3000;0;50,84746
3033;0;50,84746
3067;0;50,84746
3100;0;50,84746
3133;0;50,84746
3167;0;50,84746
3200;0;50,84746
3233;0;50,84746
3267;0;50,84746
3300;1;50,84746
3333;0;51,06383
3367;0;51,06383
3400;0;51,06383
3433;0;51,06383
3467;0;51,06383
3500;0;51,06383
3533;0;51,06383
3567;0;51,06383
3600;0;51,06383
3633;0;51,06383
3667;0;51,06383
3700;0;51,06383
3733;0;51,06383
3767;0;51,06383
3800;0;49,18033
3833;0;49,18033
3867;0;49,18033
3900;0;49,18033
3933;0;49,18033
3967;0;49,18033
4000;0;49,18033
4033;0;49,18033
4067;0;49,18033
4100;0;49,18033
4133;0;49,18033
4167;0;49,18033
4200;0;49,18033
4233;0;49,18033
4267;0;49,18033
4300;0;49,18033
4333;0;49,18033
4367;0;49,18033
4400;0;49,18033
4433;0;49,18033
4467;0;49,18033
4500;1;49,18033
4533;0;49,65517
4567;0;49,65517
4600;0;49,65517
4633;0;49,65517
4667;0;49,65517
4700;0;49,65517
4733;0;49,65517
4767;0;49,65517
